M0[i] + E[i] * log(r),,,,,,,,,
name,SP,stdev(SP),spread(SP),d18O,stdev(d18O),spread(d18O),d15N,stdev(d15N),spread(d15N)
E,-5.9,1.4,0,-15.4,4.7,0,-7.1,2.1,0
