(M0[i] + A[i]*D[i]*r)/(r *A[i] +1),,,,,,
name,d18O,stdev(d18O),spread(d18O),d2H,stdev(d2H),spread(d2H)
A,1.7881,0.005,0,1.5824,0.03,0
D,5.6063,0.005,0,0.2946,0.03,0
