M0[i] + E[i] * log(r),,,,,,,,,,
name,isotope,SP,sigma(SP),delta(SP),d18O,sigma(d18O),delta(d18O),d15N,sigma(d15N),delta(d15N)
E,SP,-6,1.4,1,-15.9,4.7,1,-7,2.1,1
