M0[i] + E[i] * log(r),,,,,,,,,,
name,isotope,SP,stdev(SP),spread(SP),d18O,stdev(d18O),spread(d18O),d15N,stdev(d15N),spread(d15N)
E,SP,-6,1.4,1,-15.9,4.7,1,-7,2.1,1
